NLOS,RANGE,FP_IDX,FP_AMP1,FP_AMP2,CIR_PWR,MAX_NOISE,RXPACC
0.0,3.9,745.0,18712.0,10250.0,11855.0,967.0,611.0
0.0,0.66,749.0,11239.0,6313.0,18968.0,1133.0,447.0
1.0,7.86,746.0,4355.0,5240.0,14699.0,894.0,723.0
1.0,3.48,750.0,8502.0,8416.0,8748.0,1127.0,1024.0
0.0,1.19,746.0,17845.0,18095.0,11380.0,1744.0,276.0
1.0,1.27,746.0,3446.0,13680.0,10256.0,1397.0,600.0
0.0,0.28,748.0,18991.0,19444.0,13006.0,3904.0,283.0
0.0,1.23,744.0,14781.0,10399.0,8025.0,1035.0,272.0
1.0,4.99,745.0,4053.0,8174.0,9956.0,1485.0,1024.0
0.0,1.17,749.0,10153.0,7675.0,11466.0,2487.0,301.0
0.0,1.28,749.0,12079.0,18968.0,12342.0,1187.0,278.0
1.0,9.09,745.0,122.0,17389.0,15848.0,1073.0,884.0
0.0,2.75,745.0,7665.0,908.0,9683.0,1421.0,282.0
1.0,4.58,748.0,10985.0,16999.0,6106.0,967.0,473.0
1.0,1.23,747.0,9955.0,19370.0,9304.0,1440.0,473.0
1.0,2.71,746.0,9067.0,16420.0,8192.0,897.0,731.0
0.0,2.34,744.0,10364.0,7633.0,10456.0,1354.0,272.0
0.0,1.75,749.0,2565.0,9501.0,12887.0,861.0,380.0
0.0,1.27,748.0,14579.0,6746.0,15614.0,1565.0,362.0
1.0,6.86,747.0,7720.0,10902.0,15078.0,1019.0,1024.0
1.0,4.51,744.0,8198.0,10673.0,10315.0,1300.0,1024.0
0.0,1.08,747.0,1390.0,17392.0,11821.0,1078.0,335.0
0.0,3.06,746.0,5184.0,8350.0,12220.0,1563.0,345.0
0.0,3.51,744.0,11895.0,16864.0,9503.0,815.0,413.0
0.0,1.67,748.0,6545.0,17083.0,11634.0,968.0,355.0
1.0,2.8,737.0,1358.0,1523.0,1401.0,1301.0,1024.0
0.0,3.1,744.0,4411.0,11468.0,9338.0,903.0,350.0
1.0,8.5,749.0,3454.0,6097.0,4218.0,1086.0,1025.0
0.0,4.41,744.0,14733.0,5056.0,8134.0,892.0,485.0
