NLOS,RANGE,FP_IDX,FP_AMP1,FP_AMP2,FP_AMP3,CIR_PWR,STDEV_NOISE,MAX_NOISE,RXPACC
0,3.9,745,18712,10250,11576,11855,64,967,611
0,0.66,749,11239,6313,4712,18968,64,1133,447
1,7.86,746,4355,5240,3478,14699,60,894,723
1,3.48,750,8502,8416,5890,8748,76,1127,1024
0,1.19,746,17845,18095,12058,11380,68,1744,276
1,1.27,746,3446,13680,11955,10256,92,1397,600
0,0.28,748,18991,19444,18370,13006,148,3904,283
0,1.23,744,14781,10399,10136,8025,40,1035,272
1,4.99,745,4053,8174,5404,9956,100,1485,1024
0,1.17,749,10153,7675,6064,11466,108,2487,301
0,1.28,749,12079,18968,16401,12342,44,1187,278
1,9.09,745,122,17389,16780,15848,72,1073,884
0,2.75,745,7665,908,1792,9683,60,1421,282
1,4.58,748,10985,16999,9716,6106,64,967,473
1,1.23,747,9955,19370,12651,9304,84,1440,473
1,2.71,746,9067,16420,16956,8192,60,897,731
0,2.34,744,10364,7633,11581,10456,52,1354,272
0,1.75,749,2565,9501,12348,12887,48,861,380
0,1.27,748,14579,6746,6769,15614,76,1565,362
1,6.86,747,7720,10902,9726,15078,68,1019,1024
1,4.51,744,8198,10673,11455,10315,88,1300,1024
0,1.08,747,1390,17392,15882,11821,52,1078,335
0,3.06,746,5184,8350,9297,12220,72,1563,345
0,3.51,744,11895,16864,9752,9503,48,815,413
0,1.67,748,6545,17083,15057,11634,52,968,355
1,2.8,737,1358,1523,1275,1401,88,1301,1024
0,3.1,744,4411,11468,10757,9338,48,903,350
1,8.5,749,3454,6097,4420,4218,72,1086,1025
0,4.41,744,14733,5056,4760,8134,60,892,485
0,5.03,749,9819,18022,13230,9326,72,1068,856
1,2.89,748,568,11739,11425,9604,68,1015,1024
0,2.16,750,6414,17788,16707,13584,124,2804,320
1,1.28,744,3693,8914,6741,9633,48,717,492
0,1.49,746,11914,17712,13839,9656,40,838,329
0,1.64,747,9340,19035,15342,11989,80,1853,323
0,4.7,745,9025,8083,7337,17203,108,1818,402
0,2.91,745,15614,2652,8737,7634,40,836,339
1,3.96,747,3645,3450,4186,1301,84,1266,1024
0,6.35,747,4006,17237,16210,6056,60,905,526
0,2.63,748,9053,20112,14526,10565,56,882,513
0,4.44,744,9479,18578,19207,8798,52,781,660
1,2.06,744,428,17173,18074,11102,216,3324,748
1,5.25,741,1776,4416,3163,4234,80,1207,1024
0,3.29,751,14847,19109,16533,11173,40,724,425
0,0.21,744,19727,20104,14811,12437,140,3519,308
0,1.56,745,16573,18091,16971,12729,68,1797,269
0,1.62,748,16657,15643,9039,15499,76,1666,315
0,6.61,744,14211,5634,4077,14863,84,1263,1024
1,0.82,743,3306,7307,5509,12260,56,836,627
0,0.68,750,17550,18392,15154,10724,76,2009,266
0,6.08,750,3729,4570,4091,12921,96,1567,469
1,5.33,741,3036,2296,1869,3971,84,1258,1024
0,2.18,748,7090,18178,12500,24308,64,968,495
0,2.01,751,15642,19478,16604,12303,64,1698,287
0,2.02,751,14762,18938,14004,14524,60,950,490
0,4.05,750,5549,17214,16265,6394,40,803,350
0,1.7,750,15300,17022,11839,11018,68,1620,277
0,3.36,749,14964,10217,14568,25028,88,1413,522
0,2.74,749,18664,19562,17303,10588,68,1799,283
0,2.6,748,17454,17163,12399,12178,80,2054,269
0,6.51,751,8010,12604,9395,9359,76,1684,305
1,7.51,748,12080,18908,16889,10629,64,1407,337
1,1.74,748,3899,7931,8897,8256,52,879,414
1,1.31,743,2036,6285,6654,12080,80,1204,950
0,1.49,748,5146,14076,16896,16072,132,2631,338
1,4.94,748,4121,3867,4123,6298,80,1190,1024
0,5.57,747,12893,7888,9328,11646,60,890,743
1,7.57,742,3010,5283,4162,1240,68,1033,1024
1,6.22,750,7355,18970,19734,14875,52,784,553
0,5.41,751,11087,12420,10830,13596,40,728,407
0,2.73,746,15365,18122,11537,11191,48,1057,322
0,5.17,750,9444,17860,14154,5808,44,660,475
0,5.12,747,22,20183,15149,11036,56,833,614
1,4.85,747,8670,9135,6875,6767,80,1201,1024
1,4.47,743,12356,17641,11353,6175,48,739,547
0,2.84,748,7290,9598,11095,14401,68,1010,548
0,1.47,749,18350,17669,12653,10857,88,2362,273
0,1.99,745,2138,13093,9446,8518,64,1537,273
1,7.98,741,1952,4916,3738,1328,68,1022,1024
0,1.44,746,12350,8208,5307,11212,52,1240,312
1,3.16,747,395,5006,4809,3703,84,1254,1024
0,2.44,748,5245,13324,7472,17238,116,2296,364
0,1.16,750,2975,10186,14227,13898,100,2118,320
1,3.76,741,2786,3082,1836,1125,68,1017,992
1,3.53,748,7377,5340,3358,4790,76,1132,1024
0,3.64,751,2279,15526,14371,17932,124,2446,386
1,4.1,744,16613,15345,9803,8654,28,572,326
1,2.33,744,8430,18025,11261,12441,220,3376,769
0,2.8,744,5820,7013,9303,18022,56,902,426
1,9.53,745,3987,9217,8735,5749,80,1180,1025
0,1.69,748,9348,10425,16683,11754,64,1534,301
0,2.75,749,9913,9316,7130,9978,52,1134,334
0,3.74,745,11800,15558,14218,11423,48,819,443
1,5.99,747,495,780,606,31,44,654,288
0,4.01,749,5537,18296,19583,10872,68,1366,382
1,3.29,739,1495,1787,1354,2999,76,1128,1024
0,6.17,749,7490,17815,15489,9815,56,842,728
1,4.53,742,934,4804,5016,2132,88,1313,992
0,1.2,749,18447,16747,10858,10877,64,1630,279
1,10.91,745,2454,280,1022,692,64,949,672
0,3.17,743,12036,4167,2622,18258,56,830,581
0,2.77,744,6102,1918,1548,18707,60,899,627
1,3.94,745,12068,18898,16093,12974,72,1066,869
0,7.08,749,7954,8561,4626,18461,116,1779,598
1,8.98,742,3635,423,1160,4430,68,1033,1025
0,0.75,751,19482,20151,11013,13224,144,3680,312
