FP_IDX,FP_AMP1,FP_AMP2,CIR_PWR,MAX_NOISE,RXPACC,PREAM_LEN,CIR_PC1,CIR_PC2,CIR_PC3,CIR_PC4,CIR_PC5,CIR_PC6,CIR_PC7,CIR_PC8,RANGE
750.0,2658.0,17735.0,18558.0,1074.0,854.0,1024.0,-14.213253711943166,-24.72021860272487,-1.4842905977795329,-0.9962431771285172,6.093678450678595,5.877534917254986,-0.4853535742232178,2.863850563286006,4.63
747.0,3828.0,13846.0,20475.0,1623.0,586.0,1024.0,10.510498082091464,-19.543961090657938,-10.796255295716067,-30.24970893866627,1.8751478665358945,1.0929703440566911,-0.5157136012544782,-15.72721099952958,6.66
751.0,17829.0,14031.0,10913.0,1133.0,320.0,1024.0,24.39212284445684,-47.5023832509414,-25.155173160097625,-1.867656062956934,-10.595382847449953,-3.975904354564206,20.65102284680509,35.12282496972717,2.01
744.0,3389.0,11544.0,12446.0,1149.0,321.0,1024.0,47.350788177188015,35.417657903263624,8.118784414919126,18.62455615268166,14.952738229106476,-7.15090748575511,11.108353163059776,-15.783539073095309,5.6
745.0,13603.0,11656.0,11576.0,886.0,597.0,1024.0,-8.15999488238891,18.192989585644085,9.78075947546956,-13.832770168671903,-10.067285125375792,-6.010542161318558,-3.7858851525921193,-5.976730977617952,4.13
750.0,11419.0,8534.0,13365.0,1009.0,332.0,1024.0,32.224851363784424,-55.46300646558672,-38.060317112469015,-17.49848635491946,-0.1345502230299145,5.673604897968719,-5.880950209449081,-17.775614956479213,0.89
751.0,3668.0,18571.0,15538.0,1583.0,350.0,1024.0,38.42545976659404,-58.66195535638623,-35.76148309028511,-4.084796189923415,-9.08073534649914,8.348750077123508,13.647472485711182,8.707525357197037,3.03
750.0,16435.0,12444.0,10632.0,832.0,438.0,1024.0,7.944355689033626,-38.83960129390014,-11.272097980425777,9.18723949512608,-4.664624996132357,8.008633922645132,6.941688067506488,-4.02434711652408,4.2
743.0,4940.0,8164.0,6318.0,957.0,684.0,1024.0,-30.371651922345723,15.186827037463924,6.805680797274452,-1.757455062445452,-4.825246625519499,-1.2549992913370076,-3.2686808160683127,-5.945181499117857,6.42
749.0,13672.0,11329.0,9638.0,999.0,295.0,1024.0,38.37499327810035,-47.13499146185849,-4.442383828662225,14.185563590158944,5.707842044291744,-10.705538631922352,-29.1815163457269,9.229700118358412,1.86
748.0,16703.0,17801.0,11498.0,929.0,311.0,1024.0,51.19280905348669,4.315624721713241,26.95370860166813,-26.7251183101661,9.028893742678257,-19.956599967203434,-10.471708925942366,-15.25564267876039,3.82
744.0,14333.0,16810.0,10647.0,1186.0,286.0,1024.0,35.80372273281582,51.445152857266976,-28.007715390595894,16.80810993025633,5.776398717596972,23.470047211038803,9.1461434306349,-9.713022484558913,1.69
746.0,6863.0,12882.0,15620.0,1797.0,520.0,1024.0,7.673611996852207,-3.954909709933276,-13.781405427254398,-22.382327097956686,4.350541600354382,17.401772820698216,-12.391711544860286,5.126170490878952,4.52
748.0,20150.0,19950.0,13417.0,2311.0,293.0,1024.0,77.75650901308674,-8.936723353859726,53.24531217168516,12.106227088091126,7.824546523007947,-23.102511351261764,14.85659922898215,1.61226313136884,0.58
744.0,13181.0,14547.0,20311.0,2620.0,376.0,1024.0,57.69414890099363,25.90463032041284,-22.84830385501481,16.911867336483443,10.015969801318263,-18.833874314442287,-18.455950579376477,28.57410321668681,1.33
746.0,8270.0,8076.0,10292.0,835.0,350.0,1024.0,36.99526988941414,-16.22944508004943,6.900263207009637,14.99834174098863,-17.29436797426756,5.703596490625898,-7.169756342931465,9.690458546672843,1.49
747.0,9780.0,17796.0,10743.0,1484.0,280.0,1024.0,60.3707737393567,3.5115063844199788,15.04417701473479,-21.972510378930263,-16.671503077423356,-31.455392854878948,-12.432412282074468,-1.918022075765227,2.41
744.0,13272.0,11511.0,24276.0,893.0,619.0,1024.0,13.467191945044885,8.993270946225241,-19.41736246350151,-13.727223493330882,-4.793619215509469,-5.157359765600535,2.706046386545863,-4.476284055910588,3.2
744.0,16755.0,16572.0,9555.0,1543.0,259.0,1024.0,18.48023355779492,86.43969176516877,-42.54374342439099,-2.553003638332167,25.508431047386686,-8.960845559275109,7.08293252869666,-0.7841557629612564,1.25
750.0,22.0,16809.0,4826.0,905.0,361.0,1024.0,-1.3931500931608842,-16.758916692141096,15.47334178171172,19.76586603635813,-8.172459859866207,10.845444920084656,19.657004784239444,3.1626211078231883,6.3
748.0,3125.0,7370.0,10337.0,776.0,314.0,1024.0,41.77470864001445,-31.82043558538809,-0.0427662863887065,11.513618313536226,-23.59568588296028,-12.969449824657614,8.669170601102683,11.038857685370658,1.15
747.0,4314.0,11648.0,9743.0,1039.0,865.0,1024.0,-25.758957250989948,2.4859183794170088,8.279156163779428,2.548298808448021,-5.78318088137199,5.839704742072262,-1.4669199170789466,-8.933431890725027,7.41
748.0,17129.0,20310.0,9153.0,802.0,408.0,1024.0,21.316512080781,-0.2657953051965724,37.53168060968376,-2.558719054777535,11.932406343805129,-9.773301008877768,-1.0813880735047257,-0.0311065076966031,5.05
750.0,5683.0,14322.0,11861.0,919.0,419.0,1024.0,21.33753157702029,-39.26648345685148,-0.0325729370029442,11.93382946690176,4.80326744155066,-5.2236568863583175,-23.990780650826444,-5.882557771271339,3.48
745.0,7253.0,14008.0,11565.0,2160.0,267.0,1024.0,56.16855879759224,63.13213651978951,-1.2356549455716346,1.634602811094404,4.818896269120944,-18.886471234081387,23.19307144716492,-1.279672533907763,1.54
745.0,11871.0,9172.0,13219.0,1232.0,502.0,1024.0,9.606242995842788,0.124467228665063,-16.43191971580568,-5.908240036102323,2.8732853910792517,1.2384327125062873,2.6281786112925785,-12.006950837151615,5.76
